title	type	year	author	country	seen
I Sell the Dead	film	2008	Glenn McQuaid	usa	no
Insanitarium	film	2008	Jeff Buhler	usa	no
Last of the Living	film	2008	Logan McMillan	new zealand	no
Living Dead Lock Up 3: Siege of the Dead	film	2008	Mario Xavier	usa	no
Make-out with Violence	film	2008	Deagol Brothers	NA	no
Maybe....	film	2008	Christopher Kahler	usa	no
Night of the Living Jews	film	2008	Oliver Noble	usa	no
Ninjas vs. Zombies	film	2008	Justin Timpane	usa	no
Outpost	film	2008	Steve Barker	uk	no
Plaguers	film	2008	Brad Sykes	usa	no
Quarantine	film	2008	John Erick Dowdle	usa	no
Reel Zombies	film	2008	David J. Francis	canada	no
Resident Evil: Degeneration	film	2008	Makoto Kamiya	japan	no
Sexykiller (Sexykiller, morirás por ella)	film	2008	Paco Cabeza	spain	no
Splinter	film	2008	Toby Wilkins	usa	no
Stag Night of the Dead	film	2008	Neil Jones	uk	no
Street of the Dead	film	2008	Joe Pontillo	usa	no
The Dead Outside	film	2008	Kerry Anne Mullaney	uk	no
The Living Dead Chronicles	film	2008	Webby	uk	no
Trailer Park of Terror	film	2008	Steven Goldmann	canada	no
Uniform SurviGirl I	film	2008	Hiroshi Kaneko	japan	no
Virus Undead	film	2008	Wolf Wolff, Ohmuti	germany	no
Yoroi Samurai Zombie (Yoroi: Samurai Zonbie, Samurai Zombie)	film	2008	Tak Sakaguchi	japan	no
Zombie Strippers	film	2008	Jay Lee	usa	no
28 Weeks Later	film	2007	Juan Carlos Fresnadillo	spain	yes
Afternoon of the Rat-Faced Zombies	film	2007	Vinson Pike	uk	no
American Zombie	film	2007	Grace Lee	usa	no
Beneath the Surface	film	2007	Blake Reigle	usa	no
Black Swarm (Night of the Drones)	film	2007	David Winning	canada	no
Brain Blockers	film	2007	Lincoln Kupchak	NA	no
Brain Dead	film	2007	Kevin Tenney	usa	no
Days of Darkness	film	2007	Jake Kennedy	usa	no
Dead Moon Rising	film	2007	Mark E. Poole	usa	no
Dorm of the Dead	film	2007	Donald Farmer	usa	no
Flight of the Living Dead: Outbreak on a Plane	film	2007	Scott Thomas	usa	no
Forest of the Dead	film	2007	Brian Singleton	NA	no
